Common Name,Latin Name,DBH,Latitude,Longitude,Primary ID
Common Hackberry,Celtis occidentalis,24,38.036406844,-84.50348665,2705
Austrian Black Pine,Pinus nigra,17,38.036462213,-84.50344295,2704
Southern Magnolia,Magnolia grandiflora,34,38.036314895,-84.50312099,2701
Black Walnut,Juglans nigra,32,38.036519016,-84.50302168,2696
Red Oak,Quercus rubra,39,38.036550540,-84.50295727,2695
Black Walnut,Juglans nigra,34,38.036598269,-84.50250332,2689
Pecan,Carya illinoinensis,26,38.036487140,-84.50223062,2688
Red Oak,Quercus rubra,30,38.035727706,-84.50301405,2612
Little-Leaf Linden,Tilia cordata,31,38.035389069,-84.50344669,2609
Ohio Buckeye,Aesculus glabra,30,38.038407450,-84.50328872,2444
American Beech,Fagus grandifolia,28,38.038381685,-84.50361239,2443
Shumard Oak,Quercus shumardii,28,38.038484050,-84.50377398,2441
Chinquapin Oak,Quercus muehlenbergii,32,38.038629320,-84.50360503,2439
Sawara False Cypress,Chamaecyparis pisifera,21,38.038956382,-84.50386654,2435
Blue Ash,Fraxinus quadrangulata,20,38.037526243,-84.50250479,2430
American Sycamore,Platanus occidentalis,32,38.037782147,-84.50239682,2426
Red Oak,Quercus rubra,29,38.038294018,-84.50216019,2425
Red Oak,Quercus rubra,18,38.038364225,-84.50206619,2424
Red Oak,Quercus rubra,26,38.038671856,-84.50167073,2423
Red Oak,Quercus rubra,25,38.038375713,-84.50188305,2422
Red Oak,Quercus rubra,18,38.037997874,-84.50238385,2421
Red Oak,Quercus rubra,17,38.032184686,-84.50234733,2334
Pin Oak,Quercus palustris,29,38.034282492,-84.50206966,2313
Bald Cypress,Taxodium distichum,30,38.038762564,-84.50308838,2211
Black Walnut,Juglans nigra,22,38.034504684,-84.50155591,2118
Black Maple,Acer nigrum,24,38.034116253,-84.50174638,2117
Bald Cypress,Taxodium distichum,30,38.038752225,-84.5031584,2104
Sawtooth Oak,Quercus acutissima,23,38.040229984,-84.50715488,2017
American Sycamore,Platanus occidentalis,38,38.033556350,-84.50548473,1924
Sawleaf Zelkova,Zelkova serrata,33,38.039105010,-84.50763471,1859
Sugar Maple,Acer saccharum,28,38.040633668,-84.50680058,1851
Tulip Tree,Liriodendron tulipifera,34,38.040229984,-84.50668127,1849
White Pine,Pinus strobus,25,38.040135055,-84.50682737,1848
Bald Cypress,Taxodium distichum,18,38.040264503,-84.50694425,1845
Red Maple,Acer rubrum,30,38.040256832,-84.50732289,1842
Tulip Tree,Liriodendron tulipifera,21,38.040161904,-84.5070453,1838
Maidenhair Tree,Ginkgo biloba,38,38.040160945,-84.50746412,1837
American Holly,Ilex opaca,19,38.038717760,-84.50335531,1726
Goldenrain Tree,Koelreuteria paniculata,20,38.040091288,-84.50645181,1700
Kentucky Coffee Tree,Gymnocladus dioicus,20,38.039845107,-84.50648012,1698
